Designator,Mid X,Mid Y,Rotation,Layer
C1,116.2,-113.685,270.0,bottom
C10,100.5,-33.2,180.0,bottom
C11,111.85,-56.7,90.0,bottom
C12,111.86,-51.4,270.0,bottom
C13,98.535,-61.425,270.0,bottom
C14,98.835,-55.9,0.0,bottom
C15,137.375,-48.985,90.0,bottom
C16,148.3,-43.2,270.0,bottom
C17,119.5,-63.1,0.0,bottom
C18,133.52,-61.8,180.0,bottom
C19,133.52,-62.8,180.0,bottom
C2,120.3,-113.71,270.0,bottom
C20,129.22,-50.0,0.0,bottom
C21,121.7,-65.1,270.0,bottom
C22,119.5,-62.025,0.0,bottom
C23,118.05,-54.675,0.0,bottom
C24,118.05,-53.675,0.0,bottom
C25,115.9,-66.0,180.0,bottom
C26,122.0,-49.2,90.0,bottom
C27,123.0,-49.2,90.0,bottom
C28,118.5,-59.925,270.0,bottom
C29,118.2,-83.975,90.0,bottom
C3,117.5,-113.66,270.0,bottom
C30,119.25,-91.6,0.0,bottom
C31,115.092134,-83.975,90.0,bottom
C32,116.642134,-83.975,90.0,bottom
C33,117.0,-89.05,270.0,bottom
C34,113.75,-86.15,180.0,bottom
C35,118.55,-89.05,270.0,bottom
C36,115.45,-87.25,90.0,bottom
C37,115.15,-89.7,270.0,bottom
C38,112.6,-84.7,270.0,bottom
C39,111.5,-84.7,270.0,bottom
C4,119.0,-113.655,270.0,bottom
C40,108.3,-86.75,180.0,bottom
C41,110.397214,-86.203328,0.0,bottom
C42,108.442134,-84.4,90.0,bottom
C43,106.892134,-84.4,90.0,bottom
C44,106.6,-87.95,0.0,bottom
C45,106.6,-89.5,0.0,bottom
C46,105.342134,-84.4,90.0,bottom
C47,103.792134,-84.4,90.0,bottom
C48,102.242134,-84.4,90.0,bottom
C49,140.025,-99.1,0.0,bottom
C5,104.9,-46.6,90.0,bottom
C50,138.125,-99.1,0.0,bottom
C51,136.225,-99.1,0.0,bottom
C52,135.725,-96.5825,270.0,bottom
C53,142.7,-94.7,270.0,bottom
C54,141.7,-94.7,270.0,bottom
C55,150.75,-89.2,180.0,bottom
C6,102.2,-46.6,90.0,bottom
C7,103.9,-46.6,90.0,bottom
C8,130.3,-113.875,270.0,bottom
C9,131.6,-113.575,270.0,bottom
D1,138.0,-103.75,180.0,bottom
D10,146.24024,-56.422555,180.0,bottom
D11,146.24024,-58.519221,180.0,bottom
D12,146.24024,-60.615888,180.0,bottom
D13,120.3,-85.6,90.0,bottom
D2,123.4,-90.0,270.0,bottom
D3,115.8,-99.2,0.0,bottom
D4,101.26,-67.3,270.0,bottom
D5,104.86,-67.3,270.0,bottom
D6,139.05,-54.1825,180.0,bottom
D7,139.0625,-56.025,180.0,bottom
D8,139.0625,-58.0925,180.0,bottom
D9,146.24024,-54.325888,180.0,bottom
F1,138.2,-108.7,180.0,bottom
F2,116.6,-103.7,0.0,bottom
F3,128.0,-90.0,90.0,bottom
FB1,119.7,-51.6,270.0,bottom
L1,112.1,-81.9,180.0,bottom
R1,118.5,-57.015,90.0,bottom
R10,116.06,-68.7,180.0,bottom
R11,118.56,-68.7,180.0,bottom
R12,121.65,-68.9,180.0,bottom
R13,124.15,-68.9,180.0,bottom
R14,156.9,-40.4,90.0,bottom
R15,156.9,-43.4,270.0,bottom
R16,141.325,-54.0825,90.0,bottom
R17,141.3125,-56.0925,90.0,bottom
R18,141.3125,-58.0925,90.0,bottom
R19,148.498836,-54.319774,90.0,bottom
R2,123.9,-43.6,0.0,bottom
R20,148.51269,-56.411702,90.0,bottom
R21,148.519617,-58.517483,90.0,bottom
R22,148.526543,-60.609411,90.0,bottom
R23,118.04,-58.475,0.0,bottom
R24,120.1,-89.05,90.0,bottom
R25,102.29,-88.65,0.0,bottom
R26,102.29,-87.65,180.0,bottom
R27,112.8,-94.45,0.0,bottom
R28,112.7,-93.2,0.0,bottom
R29,121.5,-85.45,90.0,bottom
R3,105.6,-42.3,90.0,bottom
R30,108.142134,-94.2,90.0,bottom
R31,105.642134,-93.45,0.0,bottom
R32,130.1,-66.5,180.0,bottom
R33,103.6,-90.4,90.0,bottom
R34,151.0,-107.6,90.0,bottom
R35,142.925,-92.0875,270.0,bottom
R36,141.175,-85.4375,180.0,bottom
R37,147.16875,-83.36875,0.0,bottom
R38,149.46875,-83.36875,0.0,bottom
R4,159.3,-41.51,90.0,bottom
R5,160.4,-41.51,90.0,bottom
R6,160.4,-43.51,270.0,bottom
R7,159.3,-43.51,270.0,bottom
R9,106.6,-42.3,270.0,bottom
R_IN1,142.775,-96.8375,0.0,bottom
R_IN2,140.225,-96.0625,90.0,bottom
R_IN3,138.625,-96.0375,90.0,bottom
R_IN4,137.025,-96.0375,270.0,bottom
R_LD1,135.735,-85.4875,180.0,bottom
R_TS_PU1,138.435,-85.4875,180.0,bottom
SW1,154.6,-41.9,90.0,bottom
SW2,150.55,-41.95,270.0,bottom
TP1,89.9,-67.1,0.0,bottom
TP10,154.25,-65.8,0.0,bottom
TP11,156.55,-52.4,0.0,bottom
TP12,92.935,-54.8,0.0,bottom
TP13,150.2,-65.8,0.0,bottom
TP2,109.5,-68.4,0.0,bottom
TP3,97.1,-104.5,0.0,bottom
TP4,146.5,-107.3,0.0,bottom
TP5,96.95,-46.3,0.0,bottom
TP6,146.3,-65.8,0.0,bottom
TP7,156.9,-47.75,270.0,bottom
TP8,160.25,-47.7,270.0,bottom
TP9,153.8,-57.15,0.0,bottom
U1,106.21,-52.8725,180.0,bottom
U2,98.3,-32.724999,180.0,bottom
U3,141.625,-49.0,90.0,bottom
U4,105.9,-60.05,180.0,bottom
U5,125.75,-57.325,90.0,bottom
U6,112.083384,-89.15,0.0,bottom
U7,138.2,-89.9,0.0,bottom
U8,151.25,-86.6,90.0,bottom
U9,147.45,-86.5,90.0,bottom
Y1,115.8725,-62.4,90.0,bottom
